titulo,empresa,local,link,tags,data_publicacao
Virtual Assistant $25 Hourly,Brookview Lawncare,🇺🇸 United States,https://remoteok.com/remote-jobs/remote-virtual-assistant-25-hourly-brookview-lawncare-1093358,['Customer Support'],12-07-2025 / 00:00
Backend Developer @ lobstr.io Python Scraping Celery,lobstr.io,🌏 Worldwide,https://remoteok.com/remote-jobs/remote-backend-developer-lobstr-io-python-scraping-celery-lobstr-io-1093607,"['Developer', 'Python', 'Backend']",11-07-2025 / 14:43
Senior TS React Developer,Prezly,🌍 Africa,https://remoteok.com/remote-jobs/remote-senior-ts-react-developer-prezly-1093588,"['Front End', 'JavaScript', 'Typescript']",09-07-2025 / 11:35
Software Engineer,Loancrate,🌏 Worldwide,https://remoteok.com/remote-jobs/remote-software-engineer-loancrate-1093565,"['Senior', 'Full Stack', 'JavaScript']",07-07-2025 / 17:21
Chief Executive Officer Crypto Blockchain,Caiz,🌏 Probably worldwide,https://remoteok.com/remote-jobs/remote-chief-executive-officer-crypto-blockchain-caiz-1093606,"['Crypto', 'Cryptocurrency', 'System']",11-07-2025 / 11:00
Guest Support Agent,HostGenius,💃 Latin America,https://remoteok.com/remote-jobs/remote-guest-support-agent-hostgenius-1092947,['Customer Support'],11-07-2025 / 00:00
Senior Mobile iOS Engineer,Yassir,🌏 Probably worldwide,https://remoteok.com/remote-jobs/remote-senior-mobile-ios-engineer-yassir-1093598,"['iOS', 'Design', 'Redis']",10-07-2025 / 15:00
Member of Technical Staff Transparency,Anchorage Digital,🇺🇸 United States,https://remoteok.com/remote-jobs/remote-member-of-technical-staff-transparency-anchorage-digital-1093596,"['Design', 'Crypto', 'Front-End']",10-07-2025 / 13:00
Security Researcher,Spearbit,🌏 Worldwide,https://remoteok.com/remote-jobs/remote-security-researcher-spearbit-1093595,"['Security', 'Defi', 'Ethereum']",10-07-2025 / 11:00
Customer Onboarding & Support Specialist,Gymflow,🇨🇦 Canada,https://remoteok.com/remote-jobs/remote-customer-onboarding-support-specialist-gymflow-1093589,"['SaaS', 'Customer Support', 'Onboarding']",09-07-2025 / 11:37
AI Driven Engineer Ruby,CloudWalk,🇧🇷 Brazil,https://remoteok.com/remote-jobs/remote-ai-driven-engineer-ruby-cloudwalk-1093571,"['Technical', 'Software', 'Test']",09-07-2025 / 00:00
Lead Data Engineer,Open Architects,🇺🇸 United States,https://remoteok.com/remote-jobs/remote-lead-data-engineer-open-architects-1093295,"['Engineer', 'Developer', 'DevOps']",02-07-2025 / 00:00
Senior Security Engineer,Immutable,🇦🇺 Australia,https://remoteok.com/remote-jobs/remote-senior-security-engineer-immutable-1093568,"['Security', 'SaaS', 'Web3']",08-07-2025 / 08:00
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,https://remoteok.com/remote-jobs/remote-javascript-fullstack-engineer-senior-lumenalta-1092919,"['Developer', 'Engineer', 'JavaScript']",08-07-2025 / 00:00
US Rater,TELUS Digital,🇺🇸 United States,https://remoteok.com/remote-jobs/remote-us-rater-telus-digital-1093564,"['Social Media', 'Media', 'Advertisement']",07-07-2025 / 15:11
